,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
25,25,7,42,32,12,28,44,37,35,47,21,20,38,7,18,32,10,33,7,37,24,15,2,30,4,24,14,47,33,17,48
26,26,10,5,42,23,14,45,44,32,16,7,13,6,13,9,33,40,15,40,27,18,5,43,10,22,43,13,20,27,14,21
27,27,6,14,40,32,39,9,27,3,24,11,19,21,22,46,11,27,49,7,22,6,28,1,27,1,41,8,21,33,20,24
28,28,37,34,13,7,3,18,47,40,31,36,42,20,5,49,34,4,25,35,42,37,31,36,1,27,4,45,11,25,21,36
29,29,27,27,4,4,4,36,43,18,5,4,10,16,44,1,40,45,39,26,2,28,33,38,26,44,1,9,46,49,43,18
30,30,4,29,27,17,9,47,38,33,16,5,25,38,34,7,32,38,7,37,21,37,35,34,42,7,38,10,41,33,27,35
31,31,48,49,3,31,35,14,35,15,10,13,5,42,27,18,44,13,12,42,37,26,43,35,18,22,9,44,9,47,18,24
32,32,23,38,34,39,9,38,46,41,46,47,20,3,1,17,1,25,20,1,30,19,46,45,36,22,23,16,13,25,49,11
33,33,18,8,21,40,39,20,46,11,1,44,43,36,13,18,47,42,19,44,42,8,23,14,15,40,6,8,21,8,15,23
34,34,34,41,28,15,9,46,32,45,34,25,19,37,34,7,42,49,40,45,33,31,13,25,13,5,42,42,3,48,6,33
35,35,31,31,25,6,46,14,37,37,15,46,39,13,35,1,38,39,34,1,18,20,40,22,25,6,49,10,42,40,15,5
36,36,44,43,33,45,40,15,28,44,44,40,8,4,22,44,12,30,12,48,13,16,3,40,16,12,27,18,48,46,24,15
37,37,40,4,20,49,31,1,44,32,6,29,26,3,16,2,9,7,49,24,25,43,21,3,25,28,11,38,14,15,24,41
38,38,1,23,47,5,38,40,16,14,16,2,25,42,42,41,44,14,21,11,22,49,19,49,1,15,37,3,1,6,6,31
39,39,33,6,4,23,48,37,41,35,9,26,38,11,49,32,27,29,19,20,2,11,44,39,25,18,21,21,36,38,39,27
40,40,27,41,27,11,18,4,11,17,14,33,29,31,10,9,18,41,40,31,39,4,37,6,43,18,9,24,42,43,21,37
41,41,32,13,16,2,46,45,48,31,43,44,19,23,30,21,16,30,39,2,13,49,30,26,37,35,48,40,48,19,3,26
42,42,41,11,15,45,26,4,31,33,14,26,11,45,11,46,27,15,21,1,1,15,13,23,21,19,28,36,38,9,23,20
43,43,6,2,12,25,22,43,18,34,36,10,29,13,32,13,11,47,3,43,2,36,49,5,18,23,17,27,49,32,35,43
44,44,21,37,16,16,48,41,27,34,16,2,31,47,43,29,3,42,4,39,8,1,39,49,44,20,19,31,18,17,14,3
45,45,48,1,17,29,48,16,13,20,2,18,13,7,11,30,12,33,6,18,13,31,11,18,19,20,18,34,3,14,36,1
46,46,16,14,35,36,36,21,37,48,19,48,30,43,4,37,17,11,35,16,21,40,46,20,9,30,17,1,10,35,10,11
47,47,4,39,40,19,26,9,19,33,14,48,4,2,41,5,5,4,45,25,21,5,27,20,40,18,18,42,17,33,11,28
48,48,27,36,15,15,30,16,41,2,26,23,28,22,11,12,11,25,14,10,20,13,20,30,42,16,23,36,33,28,5,17
49,49,28,12,13,19,45,21,4,1,6,20,12,39,38,2,17,21,35,33,4,21,9,46,3,39,48,36,20,2,26,19
50,50,26,3,27,17,32,7,5,39,37,12,34,1,1,16,47,29,25,3,38,34,48,38,8,1,20,20,44,13,41,5
51,51,20,28,1,32,43,36,12,31,15,41,46,18,22,8,23,12,33,19,39,10,26,7,23,35,36,35,41,28,46,37
52,52,32,18,17,12,25,47,40,46,35,12,44,7,46,42,23,23,5,25,1,45,26,34,2,23,7,13,14,41,41,10
53,53,19,10,45,1,6,18,37,11,6,32,48,35,7,2,6,36,8,14,41,7,1,9,24,9,35,18,9,8,16,34
54,54,5,4,28,48,21,1,8,42,25,34,47,5,35,34,34,6,5,46,27,34,20,5,13,18,45,1,31,4,31,31
55,55,5,20,12,48,31,38,1,8,48,36,20,41,35,49,19,15,32,47,34,22,22,16,26,8,2,4,28,43,26,35
56,56,34,10,15,33,44,5,37,48,46,30,13,27,19,31,24,36,34,37,2,8,47,2,28,38,30,34,17,4,33,17
57,57,46,7,20,44,46,5,35,4,38,36,14,10,49,46,23,20,33,7,43,30,28,18,41,48,42,39,23,6,32,36
58,58,4,12,39,35,28,15,28,11,17,18,26,41,27,30,44,41,27,29,43,7,10,47,13,19,42,25,14,41,9,30
59,59,23,44,3,26,41,49,36,1,6,35,36,34,48,20,13,25,21,46,21,10,30,23,23,34,21,46,41,8,7,3
60,60,24,17,3,45,30,11,6,35,37,6,8,46,31,15,2,10,19,2,20,36,12,4,1,14,20,38,19,24,25,41
61,61,17,28,6,45,31,34,9,38,26,5,19,13,26,28,35,26,26,31,29,19,25,49,44,2,10,43,5,28,38,27
62,62,31,18,10,9,2,14,25,10,16,12,18,9,39,3,21,36,13,38,40,42,11,30,12,31,42,18,44,18,39,36
63,63,43,48,36,4,38,45,45,16,28,9,33,23,48,35,33,25,33,8,16,21,34,7,8,18,10,16,45,24,11,31
64,64,45,5,31,12,42,15,1,22,43,5,6,2,40,36,42,15,18,15,6,37,8,21,49,1,47,33,11,38,29,9
65,65,22,7,38,3,29,47,35,18,43,40,44,28,4,16,46,48,21,23,25,6,48,48,27,16,42,40,26,24,14,7
66,66,21,18,46,22,42,36,30,4,23,25,22,42,38,32,31,29,39,6,15,9,25,45,13,23,49,19,13,26,31,3
67,67,1,46,15,45,19,40,5,2,39,32,31,22,47,28,37,37,42,10,47,7,39,17,49,25,19,18,22,42,36,26
68,68,39,29,32,18,35,45,24,43,22,39,22,16,46,27,36,28,18,29,5,14,15,15,38,12,7,34,37,24,42,42
69,69,42,31,18,1,24,44,46,30,41,37,15,7,23,3,1,33,1,30,45,25,4,31,14,43,7,16,29,19,14,46
70,70,48,20,18,31,4,47,17,3,4,39,15,43,44,48,25,34,8,19,19,49,18,42,40,35,48,23,25,22,17,29
71,71,7,34,14,10,33,7,24,13,39,23,29,7,19,44,43,30,16,25,10,48,36,37,4,39,7,3,27,18,31,43
72,72,40,47,22,42,28,10,37,13,31,23,32,36,46,23,30,32,8,46,41,39,13,44,21,4,39,36,16,25,48,41
73,73,7,18,12,22,5,15,25,9,10,24,38,33,7,39,26,20,16,39,42,31,27,6,41,38,44,27,39,48,21,46
74,74,37,32,12,20,38,27,40,7,36,18,38,8,48,35,38,12,9,34,14,15,44,25,36,8,19,47,18,2,40,6
75,75,21,29,5,1,49,23,30,30,20,21,37,48,42,11,12,49,48,9,28,13,45,4,8,5,35,46,25,8,24,20
76,76,20,25,27,46,7,7,24,17,25,3,49,17,27,4,21,19,42,23,41,19,40,6,9,31,29,1,9,39,37,18
77,77,26,25,13,34,6,49,4,12,20,9,20,12,32,19,21,37,23,38,41,13,49,39,38,21,49,1,19,24,42,2
78,78,49,26,3,6,43,2,30,24,41,35,33,45,32,7,48,13,11,21,11,37,37,30,15,1,43,36,32,32,37,10
79,79,8,32,35,41,13,47,8,17,40,4,20,29,41,36,17,6,27,38,48,42,43,32,6,7,24,35,40,9,3,6
80,80,23,12,2,20,43,36,6,16,20,2,26,17,6,3,49,20,33,3,7,11,44,23,36,38,25,33,21,45,11,10
81,81,13,25,18,2,41,34,38,49,31,1,4,39,47,15,16,28,40,10,13,29,30,5,2,4,21,3,29,44,24,24
82,82,5,1,15,25,28,8,18,6,23,1,1,3,34,36,17,28,22,47,11,16,15,5,40,30,13,39,12,48,4,40
83,83,34,8,34,2,8,41,9,22,42,21,18,18,20,3,41,20,6,19,3,43,22,2,32,2,45,41,38,40,48,43
84,84,14,7,32,42,23,40,49,12,37,5,4,41,26,40,41,25,21,34,47,8,34,35,20,35,34,18,15,7,27,3
85,85,27,34,1,48,18,9,29,15,12,23,31,31,11,10,16,4,34,38,18,25,48,39,14,40,12,26,37,31,16,43
86,86,45,10,31,20,48,44,49,11,25,43,16,47,24,43,42,43,39,34,48,47,44,21,2,25,22,27,35,12,29,35
87,87,3,22,39,26,23,29,33,40,16,3,39,9,25,19,39,17,5,1,10,1,14,18,45,36,29,33,20,29,14,28
88,88,26,13,38,37,10,39,4,36,42,36,22,7,10,14,38,11,8,1,28,12,3,40,5,47,44,30,28,7,22,49
89,89,49,34,14,37,1,24,5,11,16,26,14,13,17,12,25,37,38,47,13,6,49,29,43,6,24,41,6,31,13,13
90,90,9,19,26,21,49,10,40,19,2,20,6,34,26,40,17,48,32,24,39,31,32,26,31,11,7,49,5,46,42,23
91,91,42,32,31,45,38,16,30,8,28,1,23,2,33,35,10,17,3,22,12,46,31,3,48,17,17,49,13,35,9,2
92,92,46,41,30,16,6,23,41,12,14,22,46,28,22,3,29,4,3,45,49,17,33,44,5,30,36,33,4,32,7,3
93,93,22,35,43,11,15,7,25,31,36,46,49,30,13,29,15,19,21,3,39,2,47,19,14,24,44,20,49,49,22,12
94,94,19,41,5,18,13,7,31,49,22,7,34,42,48,46,35,38,5,17,16,30,5,9,4,25,36,43,31,48,26,45
95,95,4,45,14,5,1,25,26,31,5,46,26,43,30,20,27,14,38,7,11,38,44,11,38,46,4,11,17,32,29,34
96,96,18,33,13,33,11,28,30,25,4,4,16,36,24,24,2,19,10,12,35,29,29,33,25,49,8,22,19,41,6,7
97,97,27,15,25,45,9,29,17,46,43,34,6,8,19,12,43,29,36,49,44,20,32,31,49,41,2,33,40,31,45,46
98,98,46,15,15,16,11,3,47,1,43,30,46,36,46,5,43,18,9,21,5,43,27,15,15,13,20,17,28,32,41,44
99,99,17,43,18,17,37,8,29,47,35,49,7,32,8,35,20,11,42,4,40,9,28,19,32,23,10,30,4,48,49,20
