,job,Obj00,Obj10,Obj01,Obj11,Obj02,Obj12,Obj03,Obj13,Obj04,Obj14,Obj05,Obj15,Obj06,Obj16,Obj07,Obj17,Obj08,Obj18,Obj09,Obj19,Obj010,Obj110,Obj011,Obj111,Obj012,Obj112,Obj013,Obj113,Obj014,Obj114
46,46,37,23,42,21,47,37,11,10,4,22,41,18,27,10,1,24,43,8,43,11,6,1,48,3,21,14,24,38,43,19
47,47,38,7,8,27,29,48,44,29,3,47,6,10,37,31,44,26,13,6,4,27,5,39,42,9,40,23,11,35,49,23
48,48,11,38,40,31,30,32,15,20,30,8,35,29,16,15,26,15,37,36,16,12,37,48,1,42,24,13,43,36,43,4
49,49,16,12,26,5,12,23,18,5,24,36,22,9,4,34,31,9,11,30,30,4,6,2,45,47,13,12,29,25,30,30
50,50,46,6,47,36,11,30,11,39,31,45,34,33,36,39,15,45,18,19,18,34,41,14,46,17,38,8,24,8,25,49
51,51,32,6,31,9,26,17,9,16,31,42,22,5,16,42,42,33,18,41,6,47,12,43,6,19,23,7,20,35,22,27
52,52,3,17,32,4,23,17,38,17,2,44,42,46,45,32,49,4,20,32,34,48,23,47,27,7,20,16,23,14,37,5
53,53,40,39,42,39,13,15,24,25,27,20,43,12,48,2,38,48,27,10,18,8,45,11,8,13,30,47,2,42,26,17
54,54,31,38,23,33,36,35,28,11,19,39,8,11,38,25,35,14,2,17,27,23,13,45,15,24,41,25,33,7,47,47
55,55,32,44,46,4,12,13,39,43,4,32,14,44,48,43,24,17,27,2,8,13,49,19,34,33,35,2,10,9,8,43
56,56,45,34,24,36,49,6,4,10,48,18,13,3,1,44,12,41,30,24,30,11,43,43,8,3,9,10,22,22,47,37
57,57,10,20,8,26,33,25,10,35,20,6,40,2,3,8,46,2,16,30,16,12,44,47,15,33,44,40,47,35,27,12
58,58,28,5,10,33,47,30,8,38,17,37,20,32,40,24,36,16,9,31,41,13,11,25,27,21,33,34,12,11,22,45
59,59,16,28,30,29,30,25,23,49,46,19,18,25,8,15,5,20,16,41,46,29,2,38,21,2,49,11,17,2,20,33
60,60,48,29,26,25,33,38,26,17,24,38,12,13,10,43,44,4,27,11,9,32,22,13,4,41,27,12,7,2,34,12
61,61,49,23,30,11,34,26,29,43,12,6,34,2,36,49,9,30,15,4,28,32,18,47,7,41,4,7,8,14,28,20
62,62,17,35,39,21,31,34,15,37,8,9,4,21,37,38,25,47,24,35,19,40,14,44,15,42,39,26,10,33,17,12
63,63,32,9,31,15,17,49,25,9,5,24,12,33,19,31,12,48,9,4,39,37,30,44,22,37,22,19,38,34,43,49
64,64,11,36,41,35,38,31,40,6,18,24,8,43,2,39,23,38,12,48,40,22,22,40,25,34,39,22,14,33,46,35
65,65,43,44,16,27,20,48,20,22,49,30,8,31,4,14,34,31,40,43,11,32,10,33,47,37,2,33,45,27,26,46
66,66,14,43,23,10,12,29,47,1,22,17,12,23,11,6,14,4,41,16,17,36,1,27,18,46,10,2,22,45,36,14
67,67,26,48,18,34,49,23,25,7,30,48,20,43,15,19,12,35,28,17,46,37,40,46,18,46,4,34,13,41,23,2
68,68,35,12,45,11,31,27,39,38,23,5,19,31,17,20,35,12,10,15,39,37,4,11,22,11,1,37,24,22,49,49
69,69,2,32,35,36,35,45,3,13,46,28,32,18,23,14,11,26,42,45,43,12,12,45,10,19,48,29,12,38,16,13
70,70,3,2,29,17,9,3,19,21,11,10,27,32,31,30,38,19,24,29,39,7,31,23,12,11,6,26,22,17,23,6
71,71,23,27,4,22,7,6,5,48,37,41,12,29,33,44,42,3,39,43,5,18,5,47,14,26,38,10,36,20,40,8
72,72,2,13,1,9,24,17,38,37,44,41,37,31,25,30,18,29,34,32,7,3,49,14,24,35,2,46,8,21,5,43
73,73,4,19,47,28,1,40,39,46,6,49,44,30,45,30,11,30,2,21,41,25,10,33,7,16,40,5,35,39,41,28
74,74,47,44,25,23,6,17,14,6,11,36,10,42,34,45,13,36,48,48,5,32,36,22,7,39,11,9,22,45,34,14
75,75,30,10,9,1,38,10,44,10,25,14,47,16,13,17,34,33,49,4,29,32,27,35,11,28,8,4,25,24,38,6
76,76,27,41,47,12,26,35,3,14,41,25,5,3,38,38,47,31,49,16,26,40,29,23,21,33,35,26,28,28,35,25
77,77,3,6,32,46,20,15,44,7,19,36,6,10,7,47,35,33,37,4,23,11,14,38,8,40,38,18,10,35,48,2
78,78,42,26,44,22,5,7,2,4,22,46,36,11,10,26,16,14,3,44,48,47,18,8,29,37,44,28,4,36,28,32
79,79,16,27,47,35,17,48,10,1,9,3,9,6,8,40,12,7,7,38,21,15,9,28,47,34,43,39,7,11,4,40
80,80,35,21,28,41,8,45,14,17,32,43,28,27,38,43,3,38,29,4,41,13,14,20,26,20,35,43,21,7,39,26
81,81,35,10,32,4,2,21,17,49,38,15,11,17,24,10,48,19,33,27,47,42,6,26,2,34,38,17,19,11,39,47
82,82,31,12,39,18,23,14,23,13,8,6,30,14,26,6,42,2,18,22,15,9,26,44,21,42,16,31,24,49,49,16
83,83,27,48,13,44,33,44,6,48,27,20,17,24,14,7,31,7,16,44,41,23,37,35,43,47,20,43,42,48,20,21
84,84,28,39,47,31,29,8,23,11,37,15,44,12,45,29,32,43,18,10,37,22,38,23,28,38,48,46,29,37,17,49
85,85,43,48,29,27,25,23,42,23,36,7,9,38,42,16,21,13,36,7,19,37,18,16,24,26,35,21,22,20,34,33
86,86,47,10,12,21,46,33,34,1,30,35,30,48,2,31,44,38,16,31,25,19,39,7,33,14,7,2,49,7,11,46
87,87,35,17,37,37,7,28,46,20,43,35,13,6,30,39,35,25,17,20,7,36,29,47,49,49,4,36,2,27,16,29
88,88,7,11,48,43,27,12,45,34,21,47,6,20,15,20,38,36,39,36,12,15,37,42,2,6,40,13,29,35,32,22
89,89,49,31,14,33,5,35,24,15,7,41,29,13,8,44,1,27,5,22,49,16,33,4,12,39,33,32,20,40,29,14
90,90,37,1,1,10,26,5,31,16,4,7,23,32,23,31,12,16,15,21,48,38,41,13,19,6,46,6,48,9,47,43
91,91,17,34,28,19,17,43,36,49,42,21,43,11,36,40,37,17,42,16,20,33,36,23,43,21,10,24,49,32,1,12
92,92,34,24,20,22,5,34,7,25,42,5,14,36,19,1,41,9,20,21,29,34,43,37,36,17,27,41,39,27,37,14
93,93,26,40,23,48,18,3,5,7,18,34,27,27,33,46,22,20,34,40,47,11,21,35,44,16,8,38,1,18,36,5
94,94,14,35,15,16,14,25,14,34,23,27,45,49,23,27,36,46,23,44,36,1,46,12,40,18,45,20,41,39,29,33
95,95,3,49,9,2,12,45,42,49,34,46,42,48,49,36,27,31,9,25,7,14,24,35,46,2,39,6,49,37,36,24
96,96,10,46,47,5,8,26,28,42,41,5,4,40,8,11,20,27,24,17,27,32,22,7,11,41,11,30,49,1,13,11
97,97,45,11,4,42,12,20,47,46,28,43,9,42,21,45,16,3,22,10,24,29,21,3,36,29,9,21,18,49,2,1
98,98,29,40,41,7,25,6,11,6,44,18,14,37,48,8,38,20,38,26,3,13,21,30,30,43,29,49,46,15,33,48
99,99,42,35,4,4,12,4,48,18,30,23,22,16,48,13,31,21,8,34,10,12,21,10,5,16,44,16,44,20,28,13
100,100,23,11,38,24,31,28,10,35,41,3,42,35,36,29,48,3,41,30,12,18,3,49,4,43,36,21,2,27,16,7
101,101,5,39,26,36,14,47,36,49,35,32,24,35,34,26,27,37,15,5,20,43,19,1,43,43,13,13,19,3,40,25
102,102,32,2,30,37,37,35,1,33,49,30,24,38,37,30,36,12,46,27,46,28,28,35,12,40,39,29,21,11,39,16
103,103,38,25,14,10,18,37,39,13,12,35,9,4,31,5,33,7,15,35,32,10,7,49,33,16,7,41,38,32,27,37
104,104,17,44,18,8,34,31,6,17,14,26,5,34,25,15,15,1,32,31,38,19,13,47,15,23,33,46,40,42,35,17
105,105,2,8,14,29,21,1,34,15,8,35,42,3,14,43,42,11,20,30,30,49,24,37,11,23,33,1,38,17,18,9
106,106,47,8,17,46,23,47,33,33,11,47,13,15,38,6,42,42,47,27,11,44,4,48,38,1,24,4,31,12,14,2
107,107,13,31,48,21,6,26,15,12,46,36,35,22,37,46,25,35,24,1,30,21,7,40,29,18,39,44,35,17,49,1
108,108,15,33,35,26,27,48,16,36,28,24,28,17,33,41,40,1,27,25,32,17,15,4,32,41,8,10,2,25,33,36
109,109,8,31,43,11,49,10,33,22,25,18,19,34,48,37,44,8,3,19,4,16,48,35,22,40,6,41,39,9,41,17
110,110,6,11,29,30,47,5,1,5,4,23,26,15,36,48,1,26,27,3,22,6,7,15,42,44,48,45,18,33,41,38
111,111,7,15,36,42,18,3,32,22,39,14,38,1,49,46,28,33,22,42,31,48,31,44,46,24,28,31,42,15,22,28
112,112,42,27,33,18,40,14,4,33,38,2,37,23,18,36,28,47,30,39,7,22,21,38,9,31,41,49,43,11,2,4
113,113,6,14,39,48,48,40,34,24,40,6,20,7,11,3,6,45,41,31,18,14,48,39,39,15,24,27,35,40,38,28
114,114,22,5,34,31,49,33,30,23,5,49,16,37,2,15,17,20,31,23,36,36,2,40,4,15,19,7,37,1,47,12
115,115,12,15,43,7,16,38,11,42,15,48,9,10,37,46,42,37,34,31,28,29,37,3,34,28,24,6,7,26,45,10
116,116,46,6,25,39,46,12,21,20,46,4,7,45,17,17,47,39,2,26,30,2,32,30,20,1,31,32,35,38,30,27
117,117,9,19,32,39,24,44,35,6,19,23,5,39,13,21,21,19,12,12,41,35,15,44,45,24,21,27,1,19,10,26
118,118,4,21,38,29,44,24,40,8,12,16,24,15,4,18,48,23,12,27,27,31,11,7,10,45,11,45,3,28,27,17
119,119,22,38,39,18,48,42,6,16,40,14,45,46,12,30,3,22,35,34,28,9,37,6,8,21,5,42,38,23,33,25
120,120,16,9,34,18,14,1,36,37,34,18,32,29,28,39,29,23,13,3,44,33,19,36,44,18,42,42,31,1,17,6
121,121,44,9,48,6,3,3,27,15,27,37,20,16,5,41,19,45,45,14,30,7,26,49,11,41,19,48,43,1,19,41
122,122,48,9,39,8,9,19,27,28,47,39,9,5,3,33,18,1,47,18,44,49,15,29,26,30,3,7,34,1,40,38
123,123,16,26,4,19,49,32,46,20,43,8,14,16,14,13,15,48,12,35,35,44,39,24,47,48,16,47,24,20,12,7
124,124,34,42,19,31,48,26,46,17,16,36,18,1,9,30,24,43,35,44,34,14,27,11,15,5,21,3,37,44,1,7
125,125,32,20,20,24,3,6,3,17,25,8,8,30,31,49,20,6,41,11,43,35,6,12,38,14,34,18,47,26,4,47
126,126,45,27,14,39,11,36,10,4,48,10,42,34,14,44,38,49,3,38,46,8,45,31,22,24,35,35,6,34,14,12
127,127,23,8,19,38,36,3,25,16,42,20,30,22,15,7,24,18,16,14,18,25,32,48,33,33,22,35,39,37,6,27
128,128,21,35,20,6,34,30,5,34,20,5,13,12,38,23,40,17,44,48,32,12,20,26,14,42,36,45,42,8,1,30
129,129,39,47,42,32,34,4,35,38,31,2,38,48,28,2,24,19,46,19,30,48,32,49,13,48,8,29,11,16,38,3
130,130,10,47,16,9,36,47,43,36,9,25,10,47,27,16,48,7,25,23,33,5,24,15,18,45,45,10,17,30,9,49
131,131,7,36,10,30,5,24,48,31,36,31,37,34,16,39,31,11,15,8,9,43,26,4,17,41,26,37,15,18,39,24
132,132,41,27,34,25,43,3,39,6,37,1,36,25,13,8,36,41,5,23,28,30,27,15,43,41,25,13,48,40,32,44
133,133,19,34,39,20,29,8,33,3,6,25,33,31,43,10,28,7,13,49,36,22,26,1,3,35,43,18,42,29,18,40
134,134,25,27,45,5,49,31,21,4,3,22,34,29,46,16,23,47,35,21,33,42,30,21,19,43,44,40,36,19,27,1
135,135,11,40,3,39,9,26,41,12,25,26,7,40,33,49,39,19,15,4,18,38,29,33,16,38,37,45,19,27,40,11
136,136,30,31,42,32,21,19,14,27,32,20,18,44,1,9,34,35,27,34,45,42,26,9,37,37,4,24,36,1,48,18
137,137,48,34,38,3,11,32,24,11,31,24,29,10,36,45,15,43,28,13,33,10,44,12,47,26,15,30,18,29,17,5
138,138,8,8,20,22,21,29,8,14,9,35,22,13,47,10,7,4,8,6,12,15,1,1,13,19,20,13,43,2,14,6
139,139,47,20,45,2,18,25,28,14,18,17,3,23,13,40,31,42,32,9,31,38,36,30,9,14,7,23,18,4,38,37
140,140,40,14,7,24,2,18,3,2,9,19,27,29,46,32,2,30,49,33,28,30,40,11,21,37,46,30,47,47,41,29
141,141,11,8,37,4,18,41,27,8,28,24,6,9,15,8,22,4,23,45,37,29,9,41,6,40,4,27,28,4,48,31
142,142,1,7,22,6,24,35,29,13,13,27,16,29,16,39,44,12,48,13,9,23,1,43,11,44,22,45,29,37,6,16
143,143,21,48,13,45,3,24,24,34,12,14,36,39,37,35,28,3,43,25,29,24,13,42,26,25,18,45,4,8,4,13
144,144,9,46,10,13,34,5,28,25,15,49,7,26,14,40,11,34,32,11,8,17,49,9,29,22,22,37,21,14,13,22
145,145,36,26,6,3,46,16,2,35,9,14,9,8,47,26,34,44,31,28,8,43,45,42,26,15,35,7,35,43,27,26
146,146,7,28,4,27,40,47,41,22,41,6,25,31,11,46,14,16,42,46,31,12,34,24,6,13,37,7,22,19,13,18
147,147,26,22,1,42,13,47,13,26,24,4,33,28,38,16,5,20,34,31,5,39,36,36,16,36,2,6,41,35,34,34
148,148,4,11,29,5,34,29,45,16,49,36,31,14,4,47,16,26,25,41,34,9,31,48,42,11,35,13,23,39,46,31
149,149,34,26,31,42,9,37,12,47,16,6,10,35,5,2,43,16,10,15,16,18,28,34,34,30,26,39,10,34,39,21
150,150,33,24,37,10,25,13,21,49,11,31,47,36,14,11,13,41,17,32,17,19,13,33,46,37,35,20,16,14,21,32
151,151,34,41,36,18,32,49,40,38,8,31,38,32,26,13,34,32,10,35,9,34,34,31,38,14,9,6,46,28,38,24
152,152,26,31,45,10,37,21,8,33,28,49,7,12,16,24,14,7,35,47,22,30,42,18,8,39,11,43,10,10,38,25
153,153,27,42,35,12,49,17,29,21,7,19,48,14,29,36,44,39,27,41,9,35,8,17,45,31,10,16,6,17,25,14
154,154,38,44,11,21,33,6,39,17,27,4,21,41,15,15,17,19,32,40,26,25,44,42,29,43,34,24,30,36,34,20
155,155,2,36,34,22,38,12,23,3,21,49,3,4,41,21,29,49,9,18,5,19,40,42,18,28,38,2,25,9,41,22
156,156,3,31,4,3,29,34,40,49,14,7,22,9,18,10,31,9,23,13,20,49,37,14,25,10,23,7,1,46,28,29
157,157,9,10,25,3,22,35,16,15,4,1,38,26,20,12,18,7,19,23,22,40,15,37,26,22,32,24,16,24,44,45
158,158,17,48,24,11,5,4,5,28,12,46,44,47,49,45,8,7,37,7,49,40,49,38,25,15,36,11,18,5,40,25
159,159,15,17,11,9,43,36,48,47,11,44,36,17,8,31,2,20,30,5,8,21,30,16,11,41,10,8,3,23,24,28
160,160,3,24,16,29,37,25,14,31,9,23,28,39,38,45,22,40,11,20,1,25,25,48,48,6,48,33,39,28,26,48
161,161,14,48,31,44,17,23,13,45,22,44,22,32,9,21,49,9,16,17,5,17,23,45,2,3,20,7,31,24,12,49
162,162,39,37,42,29,7,26,22,1,42,22,46,12,38,1,29,45,32,20,16,31,16,2,36,7,40,34,38,29,29,25
163,163,49,31,37,25,10,45,3,39,8,2,37,30,6,21,25,16,46,42,27,7,49,21,6,24,29,48,47,17,43,25
164,164,16,2,33,3,15,11,28,45,9,14,26,33,3,35,20,7,20,5,40,40,4,40,26,17,14,31,22,39,6,3
165,165,17,37,48,32,10,36,47,29,27,46,5,36,4,2,16,21,41,33,24,10,47,24,13,19,5,26,7,19,9,37
166,166,43,47,19,43,45,25,18,18,25,16,44,45,5,8,30,2,37,29,20,4,21,33,16,10,37,6,7,45,4,7
167,167,27,1,14,19,6,11,11,48,49,30,23,1,15,16,29,20,12,31,3,13,40,41,19,27,23,14,17,41,14,15
168,168,45,47,43,39,6,26,2,23,30,9,11,47,34,48,31,4,26,25,18,9,41,4,12,21,48,32,16,23,23,2
169,169,29,21,43,15,30,3,2,5,35,38,32,33,4,39,31,45,13,14,33,42,46,24,11,34,12,26,47,2,39,49
170,170,35,36,3,9,42,32,43,15,29,3,5,8,17,44,29,21,34,17,2,27,42,6,41,1,7,28,17,35,32,29
171,171,12,34,28,7,12,27,21,41,20,1,44,28,22,1,27,28,7,41,24,34,8,18,18,7,36,2,37,32,23,18
172,172,46,33,3,49,3,48,3,12,4,12,12,44,46,28,11,24,46,19,45,17,27,4,3,32,35,38,20,34,24,23
173,173,4,37,44,45,23,33,15,15,9,36,40,39,38,28,33,17,17,33,38,37,46,22,13,31,31,31,37,24,3,45
174,174,32,44,46,38,10,24,23,18,41,21,1,8,14,5,23,49,17,15,22,37,12,48,37,24,14,29,10,16,20,2
175,175,30,33,46,1,13,27,32,32,30,46,28,2,6,15,9,49,1,15,7,41,7,26,2,31,14,33,27,44,18,4
176,176,11,24,6,36,48,29,44,4,21,21,15,40,41,1,41,12,29,31,38,12,11,1,25,12,10,23,17,25,41,28
177,177,28,16,9,38,43,29,41,10,36,36,13,20,5,4,28,12,27,19,7,15,37,38,12,33,4,28,41,42,40,34
178,178,8,26,10,18,12,18,37,4,24,21,10,37,12,2,36,9,43,17,15,39,13,19,37,38,45,20,11,12,5,40
179,179,26,2,2,40,23,37,22,28,10,16,10,41,34,15,7,35,23,7,18,40,39,48,41,49,8,25,14,39,37,2
180,180,34,5,2,29,44,46,43,21,24,46,28,38,8,38,18,5,48,33,48,13,3,43,34,8,9,9,39,47,41,20
181,181,10,37,10,20,32,20,25,38,27,30,14,21,39,13,39,3,45,45,45,29,10,15,46,6,37,46,39,43,42,16
182,182,36,36,16,16,12,20,19,27,27,5,38,16,19,20,16,19,35,5,2,29,6,16,37,9,41,34,2,25,45,49
183,183,24,44,37,24,45,43,45,35,31,37,31,17,2,5,29,45,13,22,22,47,33,17,17,43,28,15,15,9,38,15
184,184,22,10,6,21,36,5,29,39,31,43,19,11,49,48,48,22,19,40,44,23,41,14,14,42,40,44,12,22,13,25
185,185,20,38,47,17,30,10,4,19,6,44,4,2,42,8,29,10,39,49,18,46,38,23,43,16,14,24,2,31,32,3
186,186,41,48,34,43,23,24,42,22,1,35,49,1,36,4,12,42,43,48,29,44,1,39,1,3,38,29,43,14,30,7
187,187,11,1,43,45,33,47,27,35,42,9,37,31,40,44,7,18,44,13,1,26,40,43,24,30,25,38,24,40,49,40
188,188,47,26,36,8,49,40,40,15,3,49,22,8,23,49,3,20,40,13,3,7,39,11,47,48,11,47,49,12,20,47
189,189,9,24,38,5,40,34,16,47,48,36,25,2,44,21,22,9,22,19,15,33,42,10,10,29,38,28,4,13,23,37
190,190,44,25,47,43,5,37,20,37,36,44,10,16,32,39,40,1,10,41,34,32,30,3,10,33,5,46,30,26,20,23
191,191,7,14,21,42,18,2,26,46,44,21,9,33,12,15,36,16,16,39,23,13,30,45,10,9,16,43,48,36,39,37
192,192,19,11,34,32,17,47,39,18,2,24,12,41,23,44,1,14,27,8,49,18,6,45,33,13,39,23,8,38,1,38
193,193,10,37,4,12,23,9,3,47,36,4,48,20,23,6,4,6,11,15,15,44,37,20,40,5,26,47,33,1,16,21
194,194,23,37,49,49,42,25,34,26,22,36,24,27,27,4,1,38,18,4,7,23,8,31,41,33,19,43,2,46,9,31
195,195,23,34,12,1,44,41,27,7,45,45,48,43,12,31,31,46,2,2,9,11,43,10,46,29,38,30,46,30,10,27
196,196,34,25,46,1,44,46,30,4,20,38,5,7,34,3,3,10,16,15,36,22,28,46,46,38,22,21,10,5,11,41
197,197,34,8,42,40,33,20,8,16,26,14,15,29,1,42,18,48,28,4,31,43,33,33,10,48,22,36,14,48,29,45
198,198,14,8,25,12,46,3,4,42,3,46,45,19,42,10,9,49,46,26,20,47,30,17,32,45,37,27,32,23,25,34
199,199,31,40,40,30,10,25,27,23,25,49,20,1,3,14,1,8,24,25,42,20,49,31,48,20,36,33,34,23,5,26
